,cik,companyName,stockSymbol,with10K
360,0001267238,Assurant Inc,aiz,1
361,0001273813,Assured Guaranty Ltd,ago,1
362,0000945989,Astea International Inc,atea,1
363,0000792987,Astec Industries Inc,aste,1
364,0000919722,"Astex Pharmaceuticals, Inc",astx,1
365,0000008063,Astronics Corp,atro,1
366,0000884144,Asure Software Inc,asur,1
367,0001131096,Athenahealth Inc,athn,1
368,0000008177,Atlantic American Corp,aame,1
369,0001135185,Atlas Air Worldwide Holdings Inc,aaww,1
370,0000872448,Atmel Corp,atml,1
371,0000731802,Atmos Energy Corp,ato,1
372,0001323885,"AtriCure, Inc.",atrc,1
373,0000008411,Atwood Oceanics Inc,atw,1
374,0001201663,Audience Inc,adnc,1
375,0001086434,Audiocodes Ltd,audc,0
376,0000826253,Aura Systems Inc,ausi,1
377,0000810208,"AuraSound, Inc.",aruzq,1
378,0001624517,Aureus Inc,arsn,1
379,0001507858,"Austin Acquisitions, Inc",,1
380,0000885074,Authentidate Holding Corp,adat,1
381,0001023364,Autobytel Inc,abtl,1
382,0000769397,Autodesk Inc,adsk,1
383,0000008670,Automatic Data Processing Inc,adp,1
384,0000350698,"Autonation, Inc.",an,1
385,0000866787,Autozone Inc,azo,1
386,0000915912,Avalonbay Communities Inc,avb,1
387,0001303849,"Avantair, Inc",aair,1
388,0001325879,Aveo Pharmaceuticals Inc,aveo,1
389,0000008818,Avery Dennison Corp,avy,1
390,0000896841,"Avid Technology, Inc.",avid,1
391,0000104918,Avista Corp,ava,1
392,0000008858,Avnet Inc,avt,1
393,0000008868,Avon Products Inc,avp,1
394,0001015739,Aware Inc /MA/,awre,1
395,0000753048,"Axion International Holdings, Inc.",axih,1
396,0001028153,"Axion Power International, Inc.",axpw,1
397,0000805928,"AxoGen, Inc.",axgn,1
398,0001603756,"Axonics Modulation Technologies, Inc.",axnx,1
399,0001051627,Axt Inc,axti,1
400,0000008947,Azz Inc,azz,1
401,0001278027,"B&G Foods, Inc.",bgs,1
402,0001341878,"B-Scada, Inc.",scda,1
403,0000861361,B/E AEROSPACE INC,beav,1
404,0001123596,"BAB, INC.",babb,1
405,0001171032,BAKERS FOOTWEAR GROUP INC,bkrsq,1
406,0000009342,BALDOR ELECTRIC CO,,1
407,0000805792,BALDWIN TECHNOLOGY CO INC,,1
408,0001591565,"BALLY, CORP.",blyq,1
409,0001169770,"BANC OF CALIFORNIA, INC.",banc,1
410,0000842180,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A.",bbva,0
411,0001071371,BANCOLOMBIA SA,cib,0
412,0001109525,BANCORP RHODE ISLAND INC,,1
413,0000927971,BANK OF MONTREAL /CAN/,,1
414,0000009631,BANK OF NOVA SCOTIA,bns,1
415,0000312070,BARCLAYS BANK PLC,cape,0
416,0000312069,BARCLAYS PLC,bcs,0
417,0000756894,BARRICK GOLD CORP,abx,0
418,0001230355,"BAXANO SURGICAL, INC.",baxsq,1
419,0001409775,"BBVA COMPASS BANCSHARES, INC",bbva,1
420,0000921768,BBX CAPITAL CORP,bbx,1
421,0000718940,BCE INC,bce,0
422,0000789073,BEAM INC,beam,1
423,0001409477,"BEAUTY BRANDS GROUP, INC.",bbgr,1
424,0000840467,BECKMAN COULTER INC,bec,1
425,0001051771,BELK INC,blkib,1
426,0000759718,BERKSHIRE BANCORP INC /DE/,berk,1
427,0001081316,BERKSHIRE HATHAWAY ENERGY CO,brk.b,1
428,0000919465,BERRY PLASTICS CORP,,1
429,0001709505,BEST Inc.,best,0
430,0001655210,"BEYOND MEAT, INC.",bynd,1
431,0001407038,"BG Medicine, Inc.",bgmd,1
432,0001094831,"BGC Partners, Inc.",bgcp,1
433,0001259045,BIG HEART PET BRANDS,sjm_priv1,1
434,0001385228,"BIND Therapeutics, Inc",bind,1
435,0000842023,BIO-TECHNE Corp,tech,1
436,0001044378,BIOCEPT INC,bioc,1
437,0000822418,BIOCLINICA INC,,1
438,0001310488,"BIOFORCE NANOSCIENCES HOLDINGS, INC.",BFNH,1
439,0001590383,"BIOHITECH GLOBAL, INC.",bhtg,1
440,0000811240,"BIOLASE, INC",biol,1
441,0001443062,BIOMEDICAL TECHNOLOGY SOLUTIONS HOLDINGS INC,bmtl,1
442,0001138400,"BIOMIMETIC THERAPEUTICS, INC.",bmti,1
443,0000704384,BIOVEST INTERNATIONAL INC,bvtiq,1
444,0001179821,BIRKS GROUP INC.,bgi,0
445,0000864328,BJ SERVICES CO,,1
446,0001037461,BJS WHOLESALE CLUB INC,,1
447,0001013488,BJs RESTAURANTS INC,bjri,1
448,0001106942,BLACKBOARD INC,bbbb,1
449,0001068875,"BLUCORA, INC.",bcor,1
450,0001095600,BLUE COAT SYSTEMS INC,,1
451,0000704870,BLUE DIAMOND COAL CO,,1
452,0000012779,BLUE RIDGE REAL ESTATE CO,brre,1
453,0001511863,BLUEDATA Corp,,1
454,0001030896,BLUEFLY INC,bfly,1
455,0000778946,BLUEGREEN VACATIONS CORP,bxg,1
456,0000835729,BMC SOFTWARE INC,bmc,1
457,0001574815,"BMC STOCK HOLDINGS, INC.",stck,1
458,y91245415,BMO Financial Corp.,,0
459,cr75633,BMO Harris Bank National Association,,0
460,0000015511,BNSF RAILWAY CO,bnsf_priv,1
461,cr934329,BNY Mellon National Association,,0
462,0000033769,BOB EVANS FARMS INC,bobe,1
463,0001379246,BODY CENTRAL CORP,body,1
464,0001328581,BOISE CASCADE Co,bcc,1
465,cr339858,"BOKF, NA",,0
466,0000354655,BOLT TECHNOLOGY CORP,bolt,1
467,0001331301,"BOULDER BRANDS, INC.",bdbd,1
468,0000013573,BOWL AMERICA INC,bwl.a,1
469,0000013610,BOWNE & CO INC,bne,1
470,0001372612,BOX INC,box,1
471,0000313807,BP PLC,bp,0
472,1071438,BRASKEM SA,BRKM3,0
473,0000918946,BRIGHTPOINT INC,cell,1
474,0000820534,BRITISH TELECOMMUNICATIONS PLC /ADR,,0
475,0001104358,BROADVIEW NETWORKS HOLDINGS INC,bvwn,1
476,0000899597,BUCKEYE TECHNOLOGIES INC,bki,1
477,0000740761,BUCYRUS INTERNATIONAL INC,bucy,1
478,0000015393,BUREAU OF NATIONAL AFFAIRS INC,,1
479,0000718916,BURLINGTON COAT FACTORY WAREHOUSE CORP,,1
480,0000934612,"BURLINGTON NORTHERN SANTA FE, LLC",brlt_priv,1
481,0000015847,BUTLER NATIONAL CORP,buks,1
482,0000009092,Badger Meter Inc,bmi,1
483,0000808362,Baker Hughes Inc,bhi,1
484,0001701605,Baker Hughes a GE Co,bhge,1
485,0000009326,Balchem Corp,bcpc,1
486,0000009346,Baldwin & Lyons Inc,bwinb,1
487,0000009389,Ball Corp,bll,1
488,0000946454,"Ballantyne Strong, Inc.",btn,1
489,0001453015,Ballard Power Systems Inc.,bldpd,0
490,0000760498,Bancfirst Corp /Ok/,banf,1
491,cr940311,Banco Popular de Puerto Rico,,0
492,0000891478,"Banco Santander, S.A.",san,0
493,cr606046,BancorpSouth Bank,,0
494,0001514416,Bandwidth Inc.,band,1
495,0001632323,Bang Holdings Corp.,bxng,1
496,0001123270,Bank Mutual Corp,bkmu,1
497,0000070858,Bank Of America Corp /DE/,bac,1
